#  #1,  #2,  #3,  #4 
0.00,-0.36,-0.49,0.00
0.00,-0.74,-0.89,-0.36
0.00,-0.96,-0.69,-0.83
0.00,-0.94,2.99,-0.91
0.00,-0.89,-0.54,-0.89
0.00,0.00,-0.83,-0.83
-0.49,-0.58,-0.20,0.00
-0.49,-0.61,-0.34,-0.49
-0.49,-0.75,2.01,-0.52
-0.36,-0.39,32.34,-0.42
-0.36,-0.36,-0.36,1.47
-0.74,0.00,-0.83,-0.39
-0.20,0.00,0.00,0.00
-0.23,4.87,0.00,0.00
-0.20,34.06,0.00,0.00
100.37,20.00,0.00,0.00
-0.20,-0.36,-0.20,0.00
-0.74,0.00,-0.79,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
16.62,0.00,0.00,0.00
-0.36,-0.59,0.00,0.86
-0.59,0.00,0.00,-0.49
