#  #1,  #2,  #3,  #4 
0.00,-0.20,-0.36,0.00
0.00,-0.67,-0.78,0.00
0.00,-0.91,-0.94,-0.74
0.00,-0.89,-0.20,-0.89
0.00,-0.83,-0.20,-0.83
0.00,0.00,-0.74,-0.74
-0.49,-0.39,-0.20,0.00
-0.49,-0.44,-0.44,-0.49
-0.49,-0.65,-0.36,-0.52
-0.36,-0.20,-0.20,-0.42
-0.20,-0.20,-0.20,-0.20
-0.59,0.00,-0.67,-0.20
-0.20,0.00,0.00,0.00
-0.23,1.30,0.00,0.00
-0.20,15.60,0.00,0.00
67.15,0.00,0.00,0.00
-0.20,-0.20,0.00,0.00
-0.49,0.00,-0.59,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
7.60,0.00,0.00,0.00
-0.20,-0.36,0.00,-0.20
-0.36,0.00,0.00,0.00
