#  #1,  #2,  #3,  #4 
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,-0.20,0.00,0.00
0.00,-0.20,-0.36,0.00
0.00,-0.36,-0.49,0.00
0.00,0.00,-0.36,-0.36
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
-0.20,-0.20,-0.20,0.00
-0.36,0.00,0.00,-0.20
-0.36,0.00,-0.20,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
20.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
